title,author,publish_date,links,images
"Zizoo, a booking.com for boats, sails for new markets with $7.4M on board",Natasha Lomas,"Thu, 22 Nov 2018 17:20:12 +0000",https://techcrunch.com/2018/11/22/zizoo-a-booking-com-for-boats-sails-for-new-markets-with-7-4m-on-board/,
MQT builds classy Swiss watches for the truly debonair,John Biggs,"Thu, 22 Nov 2018 16:37:58 +0000",https://techcrunch.com/2018/11/22/mqt-builds-classy-swiss-watches-for-the-truly-debonair/,
Google lays outs narrow “EU election advertiser” policy ahead of 2019 vote,Natasha Lomas,"Thu, 22 Nov 2018 16:28:18 +0000",https://techcrunch.com/2018/11/22/google-lays-outs-narrow-eu-election-advertiser-policy-ahead-of-2019-vote/,
Gift Guide: 16 fantastic computer bags,Matt Burns,"Thu, 22 Nov 2018 15:58:07 +0000",https://techcrunch.com/2018/11/22/gift-guide-16-fantastic-computer-bags/,
Amazon reverses tax-triggered block on US shop in Australia,Natasha Lomas,"Thu, 22 Nov 2018 13:37:38 +0000",https://techcrunch.com/2018/11/22/amazon-reverses-tax-triggered-block-on-us-shop-in-australia/,
China’s Geek+ raises $150M to build robots for warehouses and logistics,Ingrid Lunden,"Thu, 22 Nov 2018 13:17:54 +0000",https://techcrunch.com/2018/11/22/chinas-geek-raises-150m-to-build-robots-for-warehouses-and-logistics/,
"Wluper, a London-based startup building a better conversational AI, picks up $1.3M seed",Steve O'Hear,"Thu, 22 Nov 2018 13:11:56 +0000",https://techcrunch.com/2018/11/22/wluper/,
October lets 11 public companies borrow money on its platform,Romain Dillet,"Thu, 22 Nov 2018 09:45:27 +0000",https://techcrunch.com/2018/11/22/october-lets-11-public-companies-borrow-money-on-its-platform/,
Only one week left until Disrupt Berlin 2018 begins,Leslie Hitchcock,"Thu, 22 Nov 2018 09:03:13 +0000",https://techcrunch.com/2018/11/22/only-one-week-left-until-disrupt-berlin-2018-begins/,
"As Taiwan prepares to vote on LGBTQ issues, a homophobic group is running ads before kids videos on YouTube",Catherine Shu,"Thu, 22 Nov 2018 09:02:42 +0000",https://techcrunch.com/2018/11/22/as-taiwan-prepares-to-vote-on-lgbtq-issues-a-homophobic-group-is-running-ads-before-kid-videos-on-youtube/,
"Movinga, the European house removals platform, raises further €15M",Steve O'Hear,"Thu, 22 Nov 2018 08:00:59 +0000",https://techcrunch.com/2018/11/22/movinga-further-funding/,
title,author,publish_date,links,images
Amazon warehouse workers in Europe stage ‘we are not robots’ protests,Natasha Lomas,"Fri, 23 Nov 2018 14:32:35 +0000",https://techcrunch.com/2018/11/23/amazon-warehouse-workers-in-europe-stage-we-are-not-robots-protests/,
Equity podcast: A Thanksgiving-ish special episode,Alex Wilhelm,"Fri, 23 Nov 2018 14:10:00 +0000",https://techcrunch.com/2018/11/23/equity-a-thanksgiving-ish-special-episode/,
"Black Friday predicted to hit $5.9B in online sales, $645M spent so far",Ingrid Lunden,"Fri, 23 Nov 2018 13:57:35 +0000",https://techcrunch.com/2018/11/23/black-friday-ecommerce/,
"Meituan, China’s ‘everything app’, walks away from bike sharing and ride hailing",Rita Liao,"Fri, 23 Nov 2018 10:12:01 +0000",https://techcrunch.com/2018/11/23/meituan-scale-back-ride-hailing-and-bike-sharing/,
Silentmode’s PowerMask is a $200 connected relaxation mask,Brian Heater,"Fri, 23 Nov 2018 09:15:49 +0000",https://techcrunch.com/2018/11/23/silentmodes-powermask-is-a-200-connected-relaxation-mask/,
Black Friday only: 2-for-1 Innovator passes to Disrupt Berlin 2018,Leslie Hitchcock,"Fri, 23 Nov 2018 08:01:10 +0000",https://techcrunch.com/2018/11/23/black-friday-only-2-for-1-innovator-passes-to-disrupt-berlin-2018/,
Soundbrenner’s wearable metronome gets a modular upgrade,Brian Heater,"Fri, 23 Nov 2018 01:59:53 +0000",https://techcrunch.com/2018/11/22/soundbrenners-wearable-metronome-gets-a-modular-upgrade/,
"Thanksgiving online spend hits a record $3.7B, mobile accounted for one-third of sales",Ingrid Lunden,"Thu, 22 Nov 2018 17:53:22 +0000",https://techcrunch.com/2018/11/22/thanksgiving-ecommerce-spend/,
Be a Thanksgiving security hero with these family-friendly tips,Romain Dillet,"Thu, 22 Nov 2018 17:36:04 +0000",https://techcrunch.com/2018/11/22/be-a-thanksgiving-security-hero-with-these-family-friendly-tips/,
"Zizoo, a booking.com for boats, sails for new markets with $7.4M on board",Natasha Lomas,"Thu, 22 Nov 2018 17:20:12 +0000",https://techcrunch.com/2018/11/22/zizoo-a-booking-com-for-boats-sails-for-new-markets-with-7-4m-on-board/,
MQT builds classy Swiss watches for the truly debonair,John Biggs,"Thu, 22 Nov 2018 16:37:58 +0000",https://techcrunch.com/2018/11/22/mqt-builds-classy-swiss-watches-for-the-truly-debonair/,
Google lays outs narrow “EU election advertiser” policy ahead of 2019 vote,Natasha Lomas,"Thu, 22 Nov 2018 16:28:18 +0000",https://techcrunch.com/2018/11/22/google-lays-outs-narrow-eu-election-advertiser-policy-ahead-of-2019-vote/,
Gift Guide: 16 fantastic computer bags,Matt Burns,"Thu, 22 Nov 2018 15:58:07 +0000",https://techcrunch.com/2018/11/22/gift-guide-16-fantastic-computer-bags/,
Amazon reverses tax-triggered block on US shop in Australia,Natasha Lomas,"Thu, 22 Nov 2018 13:37:38 +0000",https://techcrunch.com/2018/11/22/amazon-reverses-tax-triggered-block-on-us-shop-in-australia/,
China’s Geek+ raises $150M to build robots for warehouses and logistics,Ingrid Lunden,"Thu, 22 Nov 2018 13:17:54 +0000",https://techcrunch.com/2018/11/22/chinas-geek-raises-150m-to-build-robots-for-warehouses-and-logistics/,
"Wluper, a London-based startup building a better conversational AI, picks up $1.3M seed",Steve O'Hear,"Thu, 22 Nov 2018 13:11:56 +0000",https://techcrunch.com/2018/11/22/wluper/,
October lets 11 public companies borrow money on its platform,Romain Dillet,"Thu, 22 Nov 2018 09:45:27 +0000",https://techcrunch.com/2018/11/22/october-lets-11-public-companies-borrow-money-on-its-platform/,
Only one week left until Disrupt Berlin 2018 begins,Leslie Hitchcock,"Thu, 22 Nov 2018 09:03:13 +0000",https://techcrunch.com/2018/11/22/only-one-week-left-until-disrupt-berlin-2018-begins/,
"As Taiwan prepares to vote on LGBTQ issues, a homophobic group is running ads before kids videos on YouTube",Catherine Shu,"Thu, 22 Nov 2018 09:02:42 +0000",https://techcrunch.com/2018/11/22/as-taiwan-prepares-to-vote-on-lgbtq-issues-a-homophobic-group-is-running-ads-before-kid-videos-on-youtube/,
"Movinga, the European house removals platform, raises further €15M",Steve O'Hear,"Thu, 22 Nov 2018 08:00:59 +0000",https://techcrunch.com/2018/11/22/movinga-further-funding/,
